Region,Country,CountryID,Industry,Edition,Category,ParentID,Subcategory,ProductID,Lowest Level,Modelled,Hierarchy Level,Data Type,DataTypeID,Unit,Unit Multiplier,Current/Constant,Currency Conversion,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Asia Pacific,"Hong Kong, China",259,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Value RSP,410,USD million,1000000,"Historic Constant 2014 Prices, Forecast Constant 2014 Prices","Historic Fixed 2014 Exchange Rates, Forecast Fixed 2014 Exchange Rates",109.3821982,109.5154705,114.1987308,121.2807955,126.6276391,129.9130312,132.7121676,137.5283858,140.3443923,131.111737,132.133712,129.4943633,128.8718297,128.9768958,131.4573443,133.2654905,134.7670865,136.5149648,138.1717065,139.7284117
Asia Pacific,India,265,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Volume,1,million litres,1000000,,Volume,38.2174637,42.7463494,47.6989377,52.8787279,58.54366395,64.29723459,76.70473667,93.27281901,111.2505583,128.4416206,147.7233173,167.8063722,188.1765077,209.2856911,228.8085683,251.3556241,277.1067591,305.551444,336.238992,369.7129407
Asia Pacific,India,265,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Volume (Tonnes),911,000 tonnes,1000,,Volume,27.81634809,31.09624458,34.69034289,38.45548949,42.56821118,46.74552619,55.72460619,67.63253272,80.52345162,92.76488071,106.5791911,120.9909687,135.5705804,150.6551339,164.5995156,180.7579819,199.172548,219.4979945,241.4199461,265.3140678
Asia Pacific,India,265,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Total Volume,3,million litres,1000000,,Volume,45.6913098,50.9646171,56.741468,62.7820779,69.28836912,75.92257372,90.50856427,109.7988749,130.6886019,150.5060953,173.3376781,197.3785841,221.6095604,246.9954023,271.2642736,298.9765579,330.3172501,364.7881801,401.9704483,442.4439803
Asia Pacific,India,265,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Total Volume (Tonnes),913,000 tonnes,1000,,Volume,35.29019419,39.31451228,43.73287319,48.35883949,53.31291635,58.37086531,69.52843379,84.15858859,99.96149516,114.8293555,132.193552,150.5631806,169.0036331,188.3648451,207.0552209,228.3789157,252.383039,278.7347305,307.1514024,338.0451075
Asia Pacific,India,265,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Value RSP,410,USD million,1000000,"Historic Constant 2014 Prices, Forecast Constant 2014 Prices","Historic Fixed 2014 Exchange Rates, Forecast Fixed 2014 Exchange Rates",176.1963583,195.7380729,215.5450081,235.7003337,259.0921891,280.6329029,318.5257788,366.5738664,411.829243,445.5805237,473.462595,529.7048871,589.8193534,636.3788905,674.3996376,728.8299525,789.1920429,855.6230252,928.3428293,1004.75634
Asia Pacific,Indonesia,263,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Volume,1,million litres,1000000,,Volume,42.06737588,44.39375624,46.73265186,49.07588574,51.47682157,54.097915,56.96392043,60.99458611,61.8026196,61.75696259,62.63690006,67.25493107,72.89991118,80.13315138,87.87532555,96.8436329,107.0475382,117.81658,129.3542888,141.8409759
Asia Pacific,Indonesia,263,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Volume (Tonnes),911,000 tonnes,1000,,Volume,31.43842984,33.20594464,34.98506809,36.77102804,38.59223214,40.53971398,42.65622198,45.60901056,45.40154483,44.73427104,44.8382713,48.07984995,52.10366938,57.39188865,62.9593074,69.36061195,76.60677614,84.23832004,92.40207188,101.2273838
Asia Pacific,Indonesia,263,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Total Volume,3,million litres,1000000,,Volume,57.39172848,63.77140105,70.64696616,77.45948999,84.63892932,92.36075671,100.4408751,109.577145,115.6351369,119.5020706,122.5294499,132.8160756,144.387978,157.7775141,171.8677585,187.329878,204.1271522,221.532473,239.6909368,259.0086776
Asia Pacific,Indonesia,263,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Total Volume (Tonnes),913,000 tonnes,1000,,Volume,46.76278244,52.58358945,58.89938239,65.15463229,71.75433989,78.80255569,86.13317661,94.19156942,99.2340621,102.479379,104.7308212,113.6409945,123.5917362,135.0362513,146.9517404,159.8468571,173.6863902,187.9542131,202.7387199,218.3950855
